RESOURCE_ID,CLAIM_ID,TYP_RESSOURCE,MONTANT,DT_DEBUT,DT_FIN
RES000067,CLM000159,PE,422.51,2024-04-22,2025-11-17
RES000068,CLM000159,Rente SS,332.2,2023-05-10,
RES000069,CLM000162,Rente SS,1039.93,2024-11-14,
RES000070,CLM000164,Autre,1005.77,2023-12-02,2025-10-27
RES000071,CLM000164,Salaire,1852.42,2024-12-19,2025-12-16
RES000072,CLM000171,Rente SS,1513.84,2024-11-11,
RES000073,CLM000176,Autre,1378.84,2024-07-23,
RES000074,CLM000176,PE,803.71,2025-03-12,
RES000075,CLM000180,PE,1702.66,2025-01-17,
RES000076,CLM000180,Rente SS,1046.72,2023-07-07,
RES000077,CLM000183,Rente SS,2018.58,2025-03-29,2025-09-13
RES000078,CLM000190,PE,855.27,2025-05-17,
RES000079,CLM000190,Autre,1462.4,2024-04-20,
RES000080,CLM000192,Rente SS,1214.08,2022-06-09,
RES000081,CLM000192,PE,1840.09,2025-07-18,
RES000082,CLM000199,PE,1592.76,2024-02-25,2025-02-19
RES000083,CLM000202,Salaire,393.1,2024-02-06,
RES000084,CLM000204,Rente SS,1748.93,2025-06-05,2025-08-18
RES000085,CLM000204,PE,784.89,2025-05-13,
RES000086,CLM000212,Rente SS,2178.67,2025-11-01,2025-12-27
RES000087,CLM000212,PE,1961.88,2025-11-06,2025-12-20
RES000088,CLM000213,Rente SS,1853.52,2023-10-12,
RES000089,CLM000213,PE,1053.9,2023-06-11,2024-11-11
RES000090,CLM000213,Autre,2390.78,2025-04-26,
RES000091,CLM000224,PE,840.62,2025-08-20,2025-09-26
RES000092,CLM000225,PE,1705.63,2025-06-28,2025-09-24
RES000093,CLM000226,Rente SS,400.39,2024-08-27,2025-09-10
RES000094,CLM000228,Rente SS,1119.37,2024-07-07,
RES000095,CLM000235,Rente SS,1400.21,2025-10-15,
RES000096,CLM000236,Rente SS,1457.9,2025-05-10,
RES000097,CLM000236,Autre,2178.07,2025-03-17,
RES000098,CLM000239,Salaire,1743.0,2024-04-18,
RES000099,CLM000239,PE,378.75,2024-01-23,
RES000100,CLM000242,Rente SS,2386.63,2022-07-15,
RES000101,CLM000243,PE,2453.93,2023-04-03,
RES000102,CLM000243,Salaire,1173.72,2025-09-25,2025-12-31
RES000103,CLM000256,Autre,2466.56,2024-09-04,
RES000104,CLM000259,Rente SS,2169.86,2022-12-02,2023-09-13
RES000105,CLM000261,Rente SS,1006.82,2024-08-31,
RES000106,CLM000263,Autre,2162.97,2025-03-11,2025-04-18
RES000107,CLM000263,Salaire,1174.65,2025-10-20,
RES000108,CLM000263,PE,1273.98,2025-05-12,2025-10-02
RES000109,CLM000266,Autre,355.76,2023-06-16,2024-11-04
RES000110,CLM000270,Rente SS,1558.2,2024-12-27,
RES000111,CLM000270,PE,2191.87,2025-02-25,
RES000112,CLM000271,Salaire,555.45,2025-01-12,2025-07-29
RES000113,CLM000272,PE,1949.97,2024-08-27,2024-10-29
RES000114,CLM000274,Rente SS,2324.95,2025-07-31,
RES000115,CLM000277,Salaire,662.98,2025-11-06,
RES000116,CLM000277,PE,1953.49,2025-08-17,
RES000117,CLM000278,Salaire,585.28,2025-10-22,
RES000118,CLM000278,Autre,892.71,2025-09-26,2025-12-19
RES000119,CLM000281,PE,1327.71,2024-02-06,2024-03-11
RES000120,CLM000282,Salaire,1453.44,2025-08-15,2025-09-16
RES000121,CLM000282,Rente SS,466.6,2023-08-31,2024-04-15
RES000122,CLM000284,PE,1906.39,2024-08-02,
RES000123,CLM000284,Rente SS,1381.01,2024-11-16,2025-09-04
RES000124,CLM000284,Salaire,991.69,2025-10-06,
RES000125,CLM000285,Salaire,2025.13,2025-09-29,
RES000126,CLM000285,PE,2247.6,2025-10-03,2025-12-10
RES000127,CLM000289,PE,1440.77,2025-07-26,
RES000128,CLM000289,Salaire,1875.9,2025-07-23,2025-09-03
RES000129,CLM000294,Rente SS,990.33,2024-12-05,
RES000130,CLM000297,PE,1039.25,2023-06-25,
RES000131,CLM000297,Salaire,1593.15,2022-10-26,
RES000132,CLM000300,Autre,1325.47,2025-09-21,
RES000133,CLM000300,PE,601.94,2025-10-23,2025-11-25
RES000134,CLM000300,Salaire,1989.99,2025-11-04,
RES000135,CLM000301,PE,1233.17,2024-12-15,
RES000136,CLM000301,Autre,1603.92,2023-10-12,2025-10-01
RES000137,CLM000301,Rente SS,1658.82,2025-06-21,2025-07-25
RES000138,CLM000304,Salaire,1239.79,2025-09-30,2025-12-11
RES000139,CLM000304,Autre,2151.96,2025-08-10,
RES000140,CLM000304,Rente SS,2237.07,2024-11-29,
RES000141,CLM000305,Rente SS,1217.46,2024-04-15,2025-06-22
RES000142,CLM000305,Salaire,1090.46,2025-01-31,2025-10-08
RES000143,CLM000319,Salaire,1495.73,2025-09-07,
RES000144,CLM000319,Rente SS,1173.62,2024-07-10,
RES000145,CLM000320,Salaire,1290.84,2025-11-08,2025-12-17
RES000146,CLM000324,Autre,605.34,2025-05-10,
RES000147,CLM000324,PE,510.07,2025-07-21,
RES000148,CLM000327,Salaire,1203.72,2025-06-11,2025-07-25
RES000149,CLM000327,Rente SS,1615.83,2024-07-03,2025-06-15
RES000150,CLM000336,PE,945.37,2024-07-08,2025-02-23
RES000151,CLM000338,Rente SS,1790.51,2025-09-12,2025-10-21
RES000152,CLM000338,Salaire,571.63,2025-05-13,2025-08-12
RES000153,CLM000338,PE,1609.03,2025-04-13,
RES000154,CLM000347,Autre,388.04,2024-09-23,
RES000155,CLM000347,PE,880.24,2024-07-16,
RES000156,CLM000353,Rente SS,2204.5,2025-05-29,2025-08-24
RES000157,CLM000353,PE,1366.6,2025-05-06,2025-10-14
RES000158,CLM000357,Rente SS,2423.71,2025-11-17,2025-12-18
RES000159,CLM000364,Rente SS,1203.77,2025-11-27,2025-12-31
RES000160,CLM000366,Salaire,969.66,2025-07-22,
RES000161,CLM000373,PE,1312.69,2023-12-19,2025-01-08
RES000162,CLM000373,Salaire,2418.46,2025-05-14,
RES000163,CLM000377,PE,408.17,2024-03-28,
RES000164,CLM000377,Rente SS,1077.63,2025-08-18,2025-11-15
RES000165,CLM000380,Rente SS,1122.02,2023-03-09,2024-07-29
RES000166,CLM000380,PE,1981.3,2023-09-16,2024-10-04
RES000167,CLM000384,Rente SS,554.8,2025-06-21,
RES000168,CLM000384,Autre,1671.0,2025-06-24,
RES000169,CLM000385,Salaire,1748.9,2025-04-19,2025-06-12
RES000170,CLM000388,PE,1695.54,2025-11-29,
RES000171,CLM000388,Rente SS,943.89,2025-11-09,2025-12-21
RES000172,CLM000388,Salaire,1734.55,2025-10-25,
RES000173,CLM000391,Salaire,551.87,2025-06-21,
RES000174,CLM000391,PE,1729.29,2025-07-17,
RES000175,CLM000391,Autre,1551.45,2025-07-04,2025-11-10
RES000176,CLM000396,Autre,1129.6,2025-04-19,
RES000177,CLM000396,PE,486.02,2023-01-29,2025-12-01
RES000178,CLM000396,Rente SS,800.03,2024-12-12,
RES000179,CLM000397,PE,496.73,2025-07-10,
RES000180,CLM000397,Autre,732.32,2025-08-18,2025-11-22
RES000181,CLM000401,PE,447.45,2025-11-28,2025-12-29
RES000182,CLM000411,Rente SS,1689.06,2025-07-26,
RES000183,CLM000411,PE,548.26,2025-07-05,2025-10-19
RES000184,CLM000414,Rente SS,2343.85,2024-11-22,
RES000185,CLM000415,Rente SS,2051.94,2024-05-30,
RES000186,CLM000415,Salaire,753.21,2022-09-13,
RES000187,CLM000419,PE,1355.4,2022-11-12,2025-10-22
RES000188,CLM000419,Salaire,1762.63,2024-09-14,
RES000189,CLM000423,Rente SS,2033.33,2023-04-30,2025-01-04
RES000190,CLM000433,Salaire,2082.1,2024-07-06,
RES000191,CLM000434,PE,1132.65,2025-07-29,
RES000192,CLM000434,Salaire,2313.52,2025-09-01,
RES000193,CLM000436,Rente SS,1483.28,2025-01-24,2025-03-16
RES000194,CLM000441,PE,2004.7,2025-08-10,
RES000195,CLM000443,Salaire,1222.9,2023-01-26,
RES000196,CLM000443,PE,1410.18,2024-09-26,
RES000197,CLM000446,Salaire,466.44,2025-11-03,2025-12-07
RES000198,CLM000446,PE,703.48,2023-07-10,
RES000199,CLM000447,Autre,1751.1,2024-11-21,
RES000200,CLM000447,Salaire,527.08,2025-04-16,
RES000201,CLM000449,Rente SS,1206.55,2025-08-24,2025-12-28
RES000202,CLM000449,PE,373.04,2025-04-06,2025-07-13
RES000203,CLM000450,PE,1616.4,2023-03-28,
RES000204,CLM000450,Salaire,1141.71,2025-01-22,
RES000205,CLM000451,PE,425.07,2024-05-29,
RES000206,CLM000451,Rente SS,555.68,2023-08-15,2025-10-06
RES000207,CLM000453,PE,597.15,2025-05-19,
RES000208,CLM000453,Rente SS,988.52,2023-08-06,
RES000209,CLM000461,Rente SS,1502.78,2025-03-22,
RES000210,CLM000461,PE,1280.54,2024-12-19,2025-10-01
RES000211,CLM000464,PE,1535.8,2025-06-04,
RES000212,CLM000468,PE,1740.97,2023-09-11,2024-08-22
RES000213,CLM000468,Rente SS,1212.18,2023-10-31,
RES000214,CLM000474,Rente SS,851.91,2025-02-16,
RES000215,CLM000474,PE,1675.75,2025-11-07,
RES000216,CLM000477,Rente SS,1987.66,2024-09-18,
RES000217,CLM000479,Salaire,481.0,2024-08-20,2025-03-29
RES000218,CLM000482,Autre,1968.58,2023-05-14,
RES000219,CLM000482,Salaire,912.68,2023-08-18,
RES000220,CLM000486,PE,970.83,2024-04-11,
RES000221,CLM000486,Rente SS,669.22,2024-01-15,
RES000222,CLM000491,PE,1616.07,2025-11-21,
RES000223,CLM000496,PE,864.56,2024-06-26,2025-10-29
RES000224,CLM000498,PE,1994.54,2024-03-15,2025-07-19
RES000225,CLM000499,PE,448.37,2025-05-09,2025-07-09
RES000226,CLM000499,Rente SS,1705.73,2025-08-28,2025-10-24
RES000227,CLM000499,Salaire,2146.52,2025-09-30,2025-11-06
RES000228,CLM000502,Salaire,1268.17,2025-11-30,
RES000229,CLM000505,PE,654.49,2023-10-31,
RES000230,CLM000505,Rente SS,2393.33,2024-08-25,
RES000231,CLM000505,Autre,716.58,2023-06-25,2025-01-08
RES000232,CLM000509,Salaire,1820.39,2024-04-26,
RES000233,CLM000513,Rente SS,2321.91,2025-01-04,
RES000234,CLM000515,Autre,785.52,2025-09-29,2025-12-21
RES000235,CLM000515,Rente SS,904.4,2025-07-06,
RES000236,CLM000515,PE,787.95,2025-07-29,
RES000237,CLM000519,Salaire,1183.77,2025-09-13,2025-11-25
RES000238,CLM000519,PE,1692.14,2025-08-05,
RES000239,CLM000519,Rente SS,1890.37,2025-03-30,
RES000240,CLM000534,PE,1545.11,2024-05-09,
RES000241,CLM000537,Salaire,2425.73,2025-04-20,
RES000242,CLM000537,PE,1951.49,2024-03-30,
RES000243,CLM000537,Rente SS,657.12,2024-05-03,
RES000244,CLM000542,PE,2048.6,2024-08-31,2025-10-06
RES000245,CLM000542,Salaire,2276.76,2025-02-16,2025-12-14
RES000246,CLM000552,PE,424.21,2024-12-22,
RES000247,CLM000559,Autre,483.29,2024-10-05,2025-05-16
RES000248,CLM000559,Salaire,965.49,2025-11-20,
RES000249,CLM000562,Rente SS,1905.29,2025-11-29,
RES000250,CLM000562,PE,1109.56,2025-11-27,2025-12-28
RES000251,CLM000565,PE,2032.13,2024-08-01,2025-06-15
RES000252,CLM000565,Rente SS,643.26,2024-09-07,
RES000253,CLM000570,Salaire,933.43,2023-06-16,2025-02-25
RES000254,CLM000572,Salaire,1103.12,2025-11-30,
RES000255,CLM000572,Autre,2137.79,2025-10-04,2025-12-17
RES000256,CLM000573,Salaire,1400.44,2023-06-09,
RES000257,CLM000573,PE,1394.78,2025-09-21,2025-12-15
RES000258,CLM000573,Rente SS,1149.55,2025-04-10,
RES000259,CLM000574,PE,1579.5,2023-05-26,2025-10-22
RES000260,CLM000585,PE,1744.51,2023-09-01,
RES000261,CLM000589,PE,680.49,2025-02-27,
RES000262,CLM000589,Salaire,404.68,2025-08-20,2025-09-19
RES000263,CLM000592,Salaire,2423.9,2023-09-17,
RES000264,CLM000594,PE,499.1,2025-10-23,2025-11-30
RES000265,CLM000594,Rente SS,606.2,2025-10-24,
RES000266,CLM000596,Rente SS,1751.95,2024-11-08,2025-03-11
RES000267,CLM000597,PE,1038.36,2025-10-11,2025-11-30
RES000268,CLM000597,Rente SS,605.2,2025-08-14,2025-11-29
RES000269,CLM000603,Rente SS,969.55,2025-11-25,
RES000270,CLM000605,PE,1881.31,2023-09-10,2023-11-02
RES000271,CLM000605,Salaire,2158.48,2024-09-07,2025-02-25
RES000272,CLM000608,Rente SS,1451.18,2025-10-04,2025-12-18
RES000273,CLM000608,PE,2455.19,2024-12-29,
RES000274,CLM000617,PE,1371.21,2025-03-08,
RES000275,CLM000622,Salaire,1484.44,2025-02-24,
RES000276,CLM000622,PE,2356.71,2024-08-30,2025-05-15
RES000277,CLM000627,Salaire,769.61,2025-01-15,
RES000278,CLM000627,Autre,514.27,2025-09-21,
RES000279,CLM000627,PE,1305.3,2025-01-06,2025-08-24
RES000280,CLM000628,Salaire,1233.61,2024-01-13,
RES000281,CLM000628,PE,403.04,2025-05-30,2025-08-09
RES000282,CLM000629,Salaire,823.3,2025-11-19,
RES000283,CLM000629,Rente SS,2467.37,2025-07-20,
RES000284,CLM000632,Rente SS,2186.06,2025-04-17,
RES000285,CLM000633,PE,1555.36,2023-11-20,
RES000286,CLM000634,Autre,2448.81,2024-06-19,2025-10-06
RES000287,CLM000634,PE,735.98,2022-12-20,
RES000288,CLM000636,Rente SS,2269.42,2025-04-28,
RES000289,CLM000638,PE,1625.67,2025-10-14,
RES000290,CLM000638,Autre,1388.58,2025-10-15,2025-11-14
RES000291,CLM000645,PE,470.94,2024-09-02,
RES000292,CLM000647,Salaire,1762.88,2025-10-04,
RES000293,CLM000648,Salaire,1533.87,2024-06-06,
RES000294,CLM000648,PE,540.01,2025-04-02,
RES000295,CLM000649,Salaire,1097.09,2025-05-26,2025-08-12
RES000296,CLM000649,PE,1277.85,2025-09-30,
RES000297,CLM000653,PE,1194.61,2024-01-17,2025-05-01
RES000298,CLM000653,Salaire,440.59,2023-03-04,
RES000299,CLM000657,PE,990.9,2024-12-29,
RES000300,CLM000657,Rente SS,1411.94,2024-09-11,
RES000301,CLM000664,PE,1983.45,2024-06-10,
RES000302,CLM000664,Salaire,487.93,2025-07-30,2025-12-17
RES000303,CLM000671,Salaire,862.32,2025-06-19,2025-11-28
RES000304,CLM000671,Rente SS,1724.49,2025-05-17,2025-12-19
RES000305,CLM000672,Salaire,1356.2,2024-08-28,2025-05-24
RES000306,CLM000672,PE,1778.83,2024-12-20,
RES000307,CLM000673,Autre,412.14,2025-05-03,
RES000308,CLM000676,Rente SS,1194.12,2022-11-22,
RES000309,CLM000680,Autre,892.12,2025-05-06,
RES000310,CLM000680,Salaire,1655.72,2025-10-28,2025-12-28
RES000311,CLM000683,Rente SS,340.28,2023-10-05,
RES000312,CLM000683,Autre,1123.76,2023-04-26,2023-08-11
RES000313,CLM000683,Salaire,2493.29,2025-04-04,
RES000314,CLM000686,Rente SS,668.62,2025-10-15,
RES000315,CLM000686,PE,1022.71,2025-06-07,2025-09-16
RES000316,CLM000687,PE,1172.57,2025-11-25,
RES000317,CLM000687,Salaire,610.64,2025-11-26,2025-12-29
RES000318,CLM000689,PE,794.93,2023-12-27,2025-02-25
RES000319,CLM000690,PE,2021.12,2025-03-15,
RES000320,CLM000696,Rente SS,2443.52,2025-09-09,2025-10-10
RES000321,CLM000696,Salaire,2472.64,2025-06-17,2025-09-13
RES000322,CLM000698,Salaire,2018.85,2025-08-22,
RES000323,CLM000706,PE,500.1,2023-01-04,
RES000324,CLM000709,Autre,1498.71,2025-11-12,
RES000325,CLM000711,PE,2174.82,2023-07-26,
RES000326,CLM000711,Salaire,1818.03,2025-10-14,
RES000327,CLM000712,Salaire,542.89,2025-03-08,2025-04-10
RES000328,CLM000712,PE,885.72,2024-07-09,
RES000329,CLM000713,Rente SS,1989.51,2025-06-04,2025-12-23
RES000330,CLM000713,Salaire,2159.14,2023-10-22,
RES000331,CLM000718,PE,2462.69,2025-09-06,2025-12-05
RES000332,CLM000718,Rente SS,1340.5,2023-12-31,
RES000333,CLM000722,Rente SS,1755.54,2025-01-07,2025-06-27
RES000334,CLM000722,PE,1168.92,2024-07-28,2025-10-28
RES000335,CLM000722,Salaire,1640.74,2024-07-20,
RES000336,CLM000723,Salaire,1676.52,2025-04-25,
RES000337,CLM000727,PE,1796.21,2024-12-21,
RES000338,CLM000727,Rente SS,492.61,2025-02-18,
RES000339,CLM000731,PE,2176.26,2025-10-13,
RES000340,CLM000731,Salaire,525.45,2025-10-29,
RES000341,CLM000732,Rente SS,1141.9,2024-09-11,
RES000342,CLM000735,Rente SS,1524.05,2025-11-06,
RES000343,CLM000735,Salaire,528.74,2025-11-29,
RES000344,CLM000737,Rente SS,1944.08,2024-05-27,
RES000345,CLM000738,PE,2047.64,2024-12-01,2025-01-05
RES000346,CLM000738,Rente SS,745.44,2023-06-16,
RES000347,CLM000741,Autre,924.22,2025-05-28,2025-07-30
RES000348,CLM000741,PE,465.7,2025-06-27,
RES000349,CLM000742,Rente SS,2168.65,2024-01-13,
RES000350,CLM000742,PE,982.24,2024-11-09,
RES000351,CLM000747,PE,1642.11,2025-07-31,2025-10-15
RES000352,CLM000747,Autre,2208.07,2025-11-28,
RES000353,CLM000757,Rente SS,1757.13,2023-04-24,2023-12-07
RES000354,CLM000762,Rente SS,2269.45,2023-01-25,
RES000355,CLM000763,Rente SS,1984.34,2024-10-25,
RES000356,CLM000763,PE,1222.08,2025-03-18,
RES000357,CLM000764,Salaire,874.11,2025-01-14,
RES000358,CLM000765,Salaire,815.04,2024-06-10,2025-07-30
RES000359,CLM000766,PE,2130.14,2024-03-14,2025-01-19
RES000360,CLM000766,Salaire,1005.9,2024-12-12,2025-08-22
RES000361,CLM000767,Rente SS,1520.36,2025-11-22,
RES000362,CLM000767,PE,663.16,2025-06-21,2025-09-20
RES000363,CLM000770,PE,664.87,2025-04-29,
RES000364,CLM000774,Salaire,1352.06,2023-05-06,
RES000365,CLM000777,PE,2192.96,2024-06-24,
RES000366,CLM000777,Autre,1141.53,2024-09-06,
RES000367,CLM000784,PE,581.21,2024-06-05,
RES000368,CLM000784,Salaire,699.39,2023-08-26,
RES000369,CLM000788,Rente SS,448.94,2023-04-19,
RES000370,CLM000793,Salaire,445.23,2024-09-16,
RES000371,CLM000793,PE,1725.51,2025-11-30,2025-12-30
RES000372,CLM000795,PE,1779.98,2024-09-15,
RES000373,CLM000795,Autre,723.1,2024-08-27,2025-08-31
RES000374,CLM000796,Autre,1977.71,2024-10-03,
RES000375,CLM000797,Salaire,1402.8,2025-02-28,2025-10-26
RES000376,CLM000799,Rente SS,1645.64,2025-11-25,2025-12-27
RES000377,CLM000811,Rente SS,2454.35,2024-03-07,
RES000378,CLM000824,Salaire,626.46,2025-09-09,
RES000379,CLM000825,PE,2095.56,2025-06-21,2025-07-27
RES000380,CLM000825,Salaire,1236.11,2025-11-24,
RES000381,CLM000829,Rente SS,517.1,2024-05-05,
RES000382,CLM000834,Autre,2393.53,2025-02-10,
RES000383,CLM000840,Rente SS,787.23,2025-08-07,
RES000384,CLM000840,PE,1119.19,2025-06-02,2025-08-23
RES000385,CLM000843,Rente SS,2293.07,2024-12-12,
RES000386,CLM000844,Rente SS,2019.88,2025-03-09,
RES000387,CLM000849,PE,2068.32,2023-03-28,2024-04-24
RES000388,CLM000852,Salaire,2129.74,2025-06-15,
RES000389,CLM000852,Rente SS,1054.31,2025-08-09,
RES000390,CLM000853,Autre,385.54,2024-10-11,2025-09-25
RES000391,CLM000853,Rente SS,2460.34,2025-07-24,
RES000392,CLM000853,PE,2393.72,2024-04-15,2024-06-17
RES000393,CLM000859,Salaire,1076.49,2025-05-03,2025-12-22
RES000394,CLM000859,PE,690.34,2025-06-02,
RES000395,CLM000862,Rente SS,1525.85,2025-07-20,2025-09-07
RES000396,CLM000865,Salaire,963.73,2025-08-09,
RES000397,CLM000877,Rente SS,1635.75,2025-04-28,
RES000398,CLM000879,PE,866.97,2025-11-26,
RES000399,CLM000886,PE,1408.02,2024-10-11,
RES000400,CLM000892,Rente SS,2423.94,2024-03-18,
RES000401,CLM000892,Autre,2252.66,2025-06-21,
RES000402,CLM000899,Salaire,1020.55,2024-02-13,
RES000403,CLM000902,Salaire,1465.98,2025-03-14,2025-06-22
RES000404,CLM000902,Rente SS,1906.88,2025-06-23,
RES000405,CLM000903,Autre,1251.5,2025-03-18,
RES000406,CLM000903,Salaire,1417.98,2024-01-29,
RES000407,CLM000903,PE,2297.54,2024-12-20,
RES000408,CLM000904,PE,1368.53,2025-11-02,2025-12-04
RES000409,CLM000905,Salaire,2431.66,2025-04-17,
RES000410,CLM000905,PE,1135.38,2025-06-29,2025-09-05
RES000411,CLM000907,PE,2089.99,2025-04-15,2025-09-14
RES000412,CLM000913,Rente SS,2367.05,2025-10-09,
RES000413,CLM000913,Autre,1736.08,2024-11-17,
RES000414,CLM000914,Salaire,1429.57,2024-09-25,2025-11-20
RES000415,CLM000914,Autre,355.9,2025-10-28,
RES000416,CLM000916,Rente SS,641.95,2024-02-13,
RES000417,CLM000919,Rente SS,1581.74,2025-05-28,
RES000418,CLM000930,PE,1607.0,2024-05-20,
RES000419,CLM000940,Salaire,2313.17,2025-03-13,2025-05-10
RES000420,CLM000948,Salaire,1247.01,2025-08-30,
RES000421,CLM000949,PE,2064.28,2025-11-27,
RES000422,CLM000950,Autre,1232.38,2024-08-13,
RES000423,CLM000951,Rente SS,304.55,2024-09-05,2024-11-23
RES000424,CLM000963,PE,1919.73,2024-06-17,
RES000425,CLM000965,Rente SS,1129.83,2025-02-01,2025-03-08
RES000426,CLM000965,Salaire,560.62,2023-12-02,
RES000427,CLM000966,Rente SS,1831.86,2025-10-27,
RES000428,CLM000966,PE,690.09,2025-10-10,
RES000429,CLM000972,Autre,617.31,2025-09-11,
RES000430,CLM000972,Rente SS,1386.43,2025-03-17,2025-08-26
RES000431,CLM000973,PE,1600.4,2025-07-20,
RES000432,CLM000973,Salaire,1996.92,2025-08-16,
RES000433,CLM000974,Salaire,1147.72,2025-04-07,2025-06-08
RES000434,CLM000976,Rente SS,1680.95,2025-01-26,2025-06-28
RES000435,CLM000979,Salaire,459.06,2025-04-15,2025-10-03
RES000436,CLM000990,Rente SS,1135.68,2024-05-27,
RES000437,CLM000996,PE,2482.64,2025-02-19,
RES000438,CLM000996,Autre,762.75,2025-11-27,
RES000439,CLM000997,Salaire,1412.67,2025-09-29,
RES000440,CLM001001,PE,2278.64,2023-01-28,
RES000441,CLM001001,Autre,1429.25,2025-11-16,2025-12-24
RES000442,CLM001005,PE,1738.37,2024-08-05,
RES000443,CLM001007,PE,685.4,2024-07-09,
RES000444,CLM001007,Autre,1756.45,2025-03-11,
RES000445,CLM001009,Salaire,1164.68,2025-09-18,
RES000446,CLM001009,Rente SS,2210.34,2025-07-19,2025-12-28
RES000447,CLM001009,PE,961.59,2025-11-19,
RES000448,CLM001011,PE,391.86,2025-04-04,
RES000449,CLM001011,Autre,1084.4,2024-01-25,2025-11-22
RES000450,CLM001012,Rente SS,2239.59,2023-05-29,
RES000451,CLM001012,PE,2345.51,2025-03-18,
RES000452,CLM001017,Rente SS,2080.0,2025-09-06,2025-11-06
RES000453,CLM001017,PE,660.86,2024-01-24,
RES000454,CLM001019,PE,2441.79,2025-05-12,
RES000455,CLM001023,PE,539.31,2024-07-11,
RES000456,CLM001026,Rente SS,634.86,2025-07-12,2025-10-16
RES000457,CLM001028,Autre,1558.8,2025-08-24,2025-10-05
